Subject	Group	Trial	Condition	item	Remove	StimSlide.ACC	StimSlide.RT	Structure	Number	First_NP
206	monolingual	7	7	7	no	1	7750	Subject	Match	Plural
206	monolingual	7	7	8	no	1	4284	Subject	Match	Plural
206	monolingual	11	7	9	no	1	4623	Subject	Match	Plural
206	monolingual	39	7	10	no	1	4558	Subject	Match	Plural
206	monolingual	21	8	1	no	1	5682	Object	Match	Plural
206	monolingual	27	8	2	no	1	3982	Object	Match	Plural
206	monolingual	4	8	3	no	1	5077	Object	Match	Plural
206	monolingual	36	8	4	no	1	3569	Object	Match	Plural
206	monolingual	36	8	5	no	1	6042	Object	Match	Plural
206	monolingual	27	8	6	no	1	9826	Object	Match	Plural
206	monolingual	4	8	7	no	1	3827	Object	Match	Plural
206	monolingual	14	8	8	no	1	14118	Object	Match	Plural
206	monolingual	14	8	9	no	1	3591	Object	Match	Plural
206	monolingual	20	8	10	no	1	5712	Object	Match	Plural
207	monolingual	1	1	1	no	1	6778	Subject	Match	Singular
207	monolingual	1	1	2	no	1	4853	Subject	Match	Singular
207	monolingual	15	1	3	no	1	3692	Subject	Match	Singular
207	monolingual	26	1	4	no	1	13147	Subject	Match	Singular
207	monolingual	15	1	5	no	1	5740	Subject	Match	Singular
207	monolingual	33	1	6	no	1	3394	Subject	Match	Singular
207	monolingual	23	1	7	no	1	4121	Subject	Match	Singular
207	monolingual	26	1	8	no	1	5861	Subject	Match	Singular
207	monolingual	28	1	9	no	1	5026	Subject	Match	Singular
207	monolingual	24	1	10	no	1	10302	Subject	Match	Singular
207	monolingual	2	2	1	no	1	11776	Object	Match	Singular
207	monolingual	8	2	2	no	1	4880	Object	Match	Singular
207	monolingual	29	2	3	no	0	5811	Object	Match	Singular
207	monolingual	29	2	4	no	1	3521	Object	Match	Singular
207	monolingual	40	2	5	no	1	7384	Object	Match	Singular
207	monolingual	33	2	6	no	1	8636	Object	Match	Singular
207	monolingual	17	2	7	no	1	3774	Object	Match	Singular
207	monolingual	12	2	8	no	1	9667	Object	Match	Singular
207	monolingual	8	2	9	no	1	6671	Object	Match	Singular
207	monolingual	40	2	10	no	1	4459	Object	Match	Singular
207	monolingual	32	3	1	no	1	15094	Subject	Mismatch	Singular
207	monolingual	37	3	2	no	1	4659	Subject	Mismatch	Singular
207	monolingual	37	3	3	no	1	4597	Subject	Mismatch	Singular
207	monolingual	9	3	4	no	1	4747	Subject	Mismatch	Singular
207	monolingual	20	3	5	no	1	9067	Subject	Mismatch	Singular
207	monolingual	9	3	6	no	1	8642	Subject	Mismatch	Singular
207	monolingual	32	3	7	no	1	4891	Subject	Mismatch	Singular
207	monolingual	5	3	8	no	1	4017	Subject	Mismatch	Singular
207	monolingual	19	3	9	no	1	4644	Subject	Mismatch	Singular
207	monolingual	5	3	10	no	1	4467	Subject	Mismatch	Singular
207	monolingual	35	4	1	no	1	16269	Object	Mismatch	Singular
207	monolingual	25	4	2	no	1	5084	Object	Mismatch	Singular
207	monolingual	2	4	3	no	1	4285	Object	Mismatch	Singular
207	monolingual	12	4	4	no	1	5185	Object	Mismatch	Singular
207	monolingual	24	4	6	no	1	7209	Object	Mismatch	Singular
207	monolingual	16	4	7	no	1	5197	Object	Mismatch	Singular
207	monolingual	23	4	9	no	1	9251	Object	Mismatch	Singular
207	monolingual	16	4	10	no	1	6123	Object	Mismatch	Singular
207	monolingual	13	5	1	no	1	8301	Subject	Mismatch	Plural
207	monolingual	22	5	2	no	1	4006	Subject	Mismatch	Plural
207	monolingual	21	5	3	no	1	5938	Subject	Mismatch	Plural
207	monolingual	25	5	4	no	1	5283	Subject	Mismatch	Plural
207	monolingual	3	5	5	no	1	3957	Subject	Mismatch	Plural
207	monolingual	3	5	6	no	1	4980	Subject	Mismatch	Plural
207	monolingual	34	5	7	no	1	5720	Subject	Mismatch	Plural
207	monolingual	13	5	10	no	1	4193	Subject	Mismatch	Plural
207	monolingual	31	6	1	no	1	10775	Object	Mismatch	Plural
207	monolingual	10	6	2	no	1	4015	Object	Mismatch	Plural
207	monolingual	38	6	3	no	1	3702	Object	Mismatch	Plural
207	monolingual	18	6	4	no	0	5544	Object	Mismatch	Plural
207	monolingual	31	6	5	no	1	17046	Object	Mismatch	Plural
207	monolingual	10	6	6	no	1	4011	Object	Mismatch	Plural
207	monolingual	19	6	7	no	0	5916	Object	Mismatch	Plural
207	monolingual	6	6	9	no	1	5441	Object	Mismatch	Plural
207	monolingual	6	6	10	no	1	9970	Object	Mismatch	Plural
207	monolingual	11	7	1	no	1	3412	Subject	Match	Plural
207	monolingual	17	7	2	no	1	4306	Subject	Match	Plural
207	monolingual	30	7	3	no	1	3779	Subject	Match	Plural
207	monolingual	18	7	4	no	1	7090	Subject	Match	Plural
207	monolingual	30	7	5	no	1	8818	Subject	Match	Plural
207	monolingual	39	7	6	no	1	4135	Subject	Match	Plural
207	monolingual	7	7	7	no	1	4387	Subject	Match	Plural
207	monolingual	7	7	8	no	1	3665	Subject	Match	Plural
207	monolingual	11	7	9	no	1	5087	Subject	Match	Plural
207	monolingual	39	7	10	no	1	8403	Subject	Match	Plural
207	monolingual	21	8	1	no	1	3839	Object	Match	Plural
207	monolingual	27	8	2	no	1	8245	Object	Match	Plural
207	monolingual	4	8	3	no	1	3515	Object	Match	Plural
207	monolingual	36	8	4	no	1	6387	Object	Match	Plural
207	monolingual	36	8	5	no	1	4991	Object	Match	Plural
207	monolingual	27	8	6	no	1	3309	Object	Match	Plural
207	monolingual	4	8	7	no	1	3956	Object	Match	Plural
207	monolingual	14	8	8	no	1	4422	Object	Match	Plural
207	monolingual	14	8	9	no	1	5867	Object	Match	Plural
207	monolingual	20	8	10	no	1	6931	Object	Match	Plural
208	monolingual	1	1	1	no	1	4321	Subject	Match	Singular
208	monolingual	1	1	2	no	1	4920	Subject	Match	Singular
208	monolingual	15	1	3	no	1	3508	Subject	Match	Singular
208	monolingual	26	1	4	no	1	4169	Subject	Match	Singular
208	monolingual	15	1	5	no	1	3523	Subject	Match	Singular
208	monolingual	33	1	6	no	1	3820	Subject	Match	Singular
208	monolingual	23	1	7	no	1	4085	Subject	Match	Singular
208	monolingual	26	1	8	no	1	6412	Subject	Match	Singular
208	monolingual	28	1	9	no	1	2922	Subject	Match	Singular
208	monolingual	24	1	10	no	1	5835	Subject	Match	Singular
208	monolingual	2	2	1	no	1	3406	Object	Match	Singular
208	monolingual	8	2	2	no	1	5145	Object	Match	Singular
208	monolingual	29	2	3	no	0	6415	Object	Match	Singular
208	monolingual	29	2	4	no	1	5581	Object	Match	Singular
208	monolingual	40	2	5	no	0	4172	Object	Match	Singular
