speaker,file,word,time,rel_time,cq,language,vowel,voicing,place
it09,it09-059,paca,0.9074744334446159,0.18823760955275506,0.47468494551063545,Italian,a,voiceless,velar
it09,it09-059,paca,0.9126330475331946,0.2638156489505914,0.4812088618736788,Italian,a,voiceless,velar
it09,it09-059,paca,0.9171528115658543,0.330033997185938,0.49465105433006074,Italian,a,voiceless,velar
it09,it09-059,paca,0.9215291158405995,0.3941505391900985,0.5242813253679,Italian,a,voiceless,velar
it09,it09-059,paca,0.9256310576241653,0.4542474397146696,0.522330246343642,Italian,a,voiceless,velar
it09,it09-059,paca,0.929749533712862,0.51458658172952,0.44460872783531397,Italian,a,voiceless,velar
it09,it09-059,paca,0.9345793648617442,0.5853476742608064,0.5558072493218256,Italian,a,voiceless,velar
it09,it09-059,paca,0.9384429167676388,0.641951962378768,0.602080796934332,Italian,a,voiceless,velar
it09,it09-059,paca,0.9420234662953311,0.6944100273983953,0.4693409071526419,Italian,a,voiceless,velar
it09,it09-059,paca,0.9464008596518185,0.7585425253669696,0.5071926287608929,Italian,a,voiceless,velar
it09,it09-059,paca,0.950623860599671,0.8204130445671808,0.39097496601694604,Italian,a,voiceless,velar
it09,it09-060,pugu,0.889013598111073,0.0678365952182537,0.302191232637099,Italian,u,voiced,velar
it09,it09-060,pugu,0.8935829525785413,0.12827017527690313,0.3523582420201912,Italian,u,voiced,velar
it09,it09-060,pugu,0.8976325075900669,0.18182896760376133,0.3523591145039539,Italian,u,voiced,velar
it09,it09-060,pugu,0.9020643029385088,0.2404432118915349,0.41877222334368946,Italian,u,voiced,velar
it09,it09-060,pugu,0.9062393259888096,0.2956614252197857,0.44430085610691883,Italian,u,voiced,velar
it09,it09-060,pugu,0.9104841627314729,0.3518029837156342,0.4564955595049519,Italian,u,voiced,velar
it09,it09-060,pugu,0.9149515747027516,0.4108882879841871,0.4942491723399879,Italian,u,voiced,velar
it09,it09-060,pugu,0.9191557870600359,0.46649255460136563,0.4810915010337042,Italian,u,voiced,velar
it09,it09-060,pugu,0.9235599673848747,0.5247415668302949,0.4824980767579877,Italian,u,voiced,velar
it09,it09-060,pugu,0.9278417661413276,0.5813719792409338,0.4511267572559042,Italian,u,voiced,velar
it09,it09-060,pugu,0.9323622191654051,0.6411587963235028,0.4410839986888098,Italian,u,voiced,velar
it09,it09-060,pugu,0.9367483974413544,0.6991697162200191,0.4154887449620557,Italian,u,voiced,velar
it09,it09-060,pugu,0.9411739622286858,0.7577015560639334,0.39192587795381195,Italian,u,voiced,velar
it09,it09-060,pugu,0.9456276082146737,0.8166047935263163,0.3896131801384841,Italian,u,voiced,velar
it09,it09-060,pugu,0.9501074750374143,0.8758548237464896,0.4166775173895026,Italian,u,voiced,velar
it09,it09-061,poto,0.8233607329860688,0.07490882188578978,0.48319469135711085,Italian,o,voiceless,coronal
it09,it09-061,poto,0.8282809121039758,0.15609304512187389,0.4566776408767533,Italian,o,voiceless,coronal
it09,it09-061,poto,0.8339852329426841,0.2502158088022624,0.5705571012098165,Italian,o,voiceless,coronal
it09,it09-061,poto,0.8387826587366258,0.3293745705628693,0.5598535068396198,Italian,o,voiceless,coronal
it09,it09-061,poto,0.8443650433656711,0.4214853553643144,0.6002212144348318,Italian,o,voiceless,coronal
it09,it09-061,poto,0.8497302140112944,0.5100120534694151,0.5782787290812481,Italian,o,voiceless,coronal
it09,it09-061,poto,0.8551665587812495,0.5997131429655416,0.5042964787515214,Italian,o,voiceless,coronal
it09,it09-061,poto,0.8603896194711461,0.6858949901834461,0.4949257351098425,Italian,o,voiceless,coronal
