speaker,word,time_point,f1,f2,f3,f0,duration,vowel,voicing,place
it07,pata,2,682.282557733,1150.3577513716,2503.9514601224,132.2764238977,87.3900408741,a,voiceless,coronal
it07,pata,3,706.3480534656,1161.1166485941,2499.9201307454,131.0095423798,87.3900408741,a,voiceless,coronal
it07,pata,4,731.2689728305,1169.0209502623,2494.9982741326,130.6083571858,87.3900408741,a,voiceless,coronal
it07,pata,5,754.3206194049,1181.5816075182,2508.8537668608,131.496805134,87.3900408741,a,voiceless,coronal
it07,pata,6,748.9431102794,1196.3479881385,2530.6043820419,132.8673988127,87.3900408741,a,voiceless,coronal
it07,pata,7,727.2561872022,1222.0819862519,2544.5342755294,134.3526737331,87.3900408741,a,voiceless,coronal
it07,pata,8,712.370175276,1258.7770482276,2557.6487747737,135.9851509033,87.3900408741,a,voiceless,coronal
it07,pata,9,717.3459690749,1258.7167903172,2536.4983320258,137.1145726772,87.3900408741,a,voiceless,coronal
it07,pogo,1,490.3544832641,920.8482240954,2407.8254438245,123.6729212701,119.1568456346,o,voiced,velar
it07,pogo,2,503.3467132404,925.519029907,2367.3355525888,121.3722388409,119.1568456346,o,voiced,velar
it07,pogo,3,524.6804684566,921.8913126476,2366.2143210593,120.3115757859,119.1568456346,o,voiced,velar
it07,pogo,4,539.1144557917,921.0733521717,2346.1691009367,120.7316023608,119.1568456346,o,voiced,velar
it07,pogo,5,541.5668793959,922.6048418047,2326.3198100128,120.8773329649,119.1568456346,o,voiced,velar
it07,pogo,6,543.8629617603,911.9150078778,2342.6370984497,121.2727753579,119.1568456346,o,voiced,velar
it07,pogo,7,535.8875708618,887.8535798905,2352.332289015,122.0986743167,119.1568456346,o,voiced,velar
it07,pogo,8,511.8406564067,847.5473461445,2407.931460521,123.2922733128,119.1568456346,o,voiced,velar
it07,pogo,9,442.2077630416,847.1074154529,2377.1370385871,125.7824062512,119.1568456346,o,voiced,velar
it07,podo,1,496.6032067467,869.9364433482,2505.0481610461,114.3760779815,126.5314966489,o,voiced,coronal
it07,podo,2,502.8893325864,870.6970813901,2547.1694011303,117.0755363239,126.5314966489,o,voiced,coronal
it07,podo,3,515.6304947901,853.154692114,2554.1235954238,118.603290125,126.5314966489,o,voiced,coronal
it07,podo,4,520.9784498704,843.8688816335,2575.2458573982,119.8502424448,126.5314966489,o,voiced,coronal
it07,podo,5,521.4067246347,873.4970757901,2600.0846426431,121.071913038,126.5314966489,o,voiced,coronal
it07,podo,6,505.7337389182,950.7107826526,2593.0519903829,121.5546460404,126.5314966489,o,voiced,coronal
it07,podo,7,487.8172154116,1028.2609148415,2641.0821093933,122.1722733402,126.5314966489,o,voiced,coronal
it07,podo,8,459.4598967321,1080.3533489328,2722.5026000492,122.4280626574,126.5314966489,o,voiced,coronal
it07,podo,9,386.1940380383,1125.5817095509,2752.7830627146,123.2094574965,126.5314966489,o,voiced,coronal
it07,paca,1,638.7865820465,1104.4809340208,2315.2167282292,124.3370182477,71.3699856666,a,voiceless,velar
it07,paca,2,665.4121600427,1120.0893422311,2299.4519501408,117.2628198417,71.3699856666,a,voiceless,velar
it07,paca,3,671.3803595795,1140.8726060575,2272.3066660664,118.8367125144,71.3699856666,a,voiceless,velar
it07,paca,4,679.9550024112,1174.9687901662,2308.7704618826,120.5772933696,71.3699856666,a,voiceless,velar
it07,paca,5,696.626335104,1200.5512199541,2318.5907644281,122.1879552372,71.3699856666,a,voiceless,velar
it07,paca,6,671.873439567,1209.0433543688,2153.8604515166,123.1365720934,71.3699856666,a,voiceless,velar
it07,paca,7,649.1751788599,1231.9287515021,1946.7107369408,124.1717893762,71.3699856666,a,voiceless,velar
it07,paca,8,634.2756139391,1241.965044759,1941.1513231272,124.8352507169,71.3699856666,a,voiceless,velar
it07,paca,9,616.1550867571,1233.3885567199,1936.6654242759,124.8499195308,71.3699856666,a,voiceless,velar
it07,poto,1,480.3615600434,860.65504297,2498.2580670339,125.114985404,80.5449802305,o,voiceless,coronal
it07,poto,2,498.490457021,864.3576256084,2466.149084617,124.1831795622,80.5449802305,o,voiceless,coronal
it07,poto,3,509.3042419093,874.59534971,2513.8058071598,124.8149435831,80.5449802305,o,voiceless,coronal
it07,poto,4,517.217537842,890.7459292675,2533.0458097365,125.8553776549,80.5449802305,o,voiceless,coronal
it07,poto,5,527.1588023523,924.4809688857,2551.3764297856,126.8766249009,80.5449802305,o,voiceless,coronal
it07,poto,6,530.9604684752,967.8019855048,2577.6414602005,127.7944372147,80.5449802305,o,voiceless,coronal
it07,poto,7,533.0557265881,998.814653503,2603.8096538567,128.687608789,80.5449802305,o,voiceless,coronal
it07,poto,8,528.1215356496,1019.6781915471,2626.456087221,129.8239772451,80.5449802305,o,voiceless,coronal
it07,poto,9,501.5401467952,1036.6568970461,2642.0670910788,131.0930601182,80.5449802305,o,voiceless,coronal
it07,poco,1,485.8233372586,945.1436104293,2363.6753796609,NA,80.6791142318,o,voiceless,velar
it07,poco,2,515.5667775336,951.6630075806,2356.5704242159,127.2791336695,80.6791142318,o,voiceless,velar
it07,poco,3,526.1365133519,951.6975113199,2347.4099902118,127.810113952,80.6791142318,o,voiceless,velar
it07,poco,4,535.4346215334,948.5025363681,2344.6754527008,128.0912399799,80.6791142318,o,voiceless,velar
it07,poco,5,544.9835660127,943.2600927403,2340.9532067401,128.242363014,80.6791142318,o,voiceless,velar
it07,poco,6,550.6783970387,919.8924608869,2325.0647149516,128.3838311407,80.6791142318,o,voiceless,velar
it07,poco,7,551.042483039,896.2930445919,2325.8697815244,128.5398933706,80.6791142318,o,voiceless,velar
it07,poco,8,530.8222742264,881.3669732032,2314.9673317755,127.9617720337,80.6791142318,o,voiceless,velar
it07,poco,9,496.6281364637,863.9315295936,2273.7779206329,127.2822354908,80.6791142318,o,voiceless,velar
it07,paga,1,629.9533241777,1109.1911359306,2364.6711208491,126.2635218899,96.8149370781,a,voiced,velar
it07,paga,2,674.4747899972,1148.8184491521,2371.413677275,127.3367473227,96.8149370781,a,voiced,velar
